,name,total_sent,e_sent,percent,percentile
0,1STSTATE,839,158,18.831942789034564,26.4
1,ABERDEEN,957,278,29.049111807732498,60.0
2,AIA,2480,749,30.201612903225804,63.2
3,AIIB,152,52,34.21052631578947,73.6
4,ALLIANZ,658,153,23.252279635258358,44.8
5,AP1,3121,233,7.465555911566805,4.0
6,AP2,5007,772,15.418414220091872,18.4
7,AP3,4439,428,9.64181121874296,8.8
8,AP4,4443,314,7.067296871483232,3.2
9,AP7,1817,339,18.657127132636216,25.6
10,AVIVA,1063,235,22.10724365004704,40.8
11,AXA,18389,2162,11.75702865843711,12.8
12,AXAAM,914,194,21.2253829321663,37.6
13,Aegon,9743,1277,13.106845940675358,14.4
14,Ameriprise,986,257,26.064908722109532,52.0
15,AsahiMutual,450,37,8.222222222222223,5.6
16,Ashmore,827,150,18.13784764207981,24.0
17,BDO,1357,504,37.14075165806927,79.2
18,BEA,699,292,41.77396280400572,90.4
19,BNI,2037,766,37.604320078546884,81.6
20,BNP,619,208,33.60258481421648,72.0
21,BOA,3461,372,10.748338630453626,11.2
22,BOC,3045,673,22.10180623973727,40.0
23,BOCHK,1873,779,41.59103043246129,89.6
24,BOCOM,286,111,38.81118881118881,84.0
25,BRI,836,388,46.411483253588514,96.0
26,BangkokBank,1037,423,40.790742526518805,87.2
27,Barings,205,46,22.439024390243905,42.4
28,BlackRock,1934,394,20.372285418821097,34.4
29,CAPITAL,62,9,14.516129032258066,17.6
30,CCB,625,296,47.36,96.8
31,CHBank,365,184,50.41095890410959,99.2
32,CICC,4775,482,10.094240837696335,9.6
33,CIMB,5728,2005,35.00349162011173,75.2
34,CITICBank,905,385,42.5414364640884,92.0
35,CITICCapital,48,12,25.0,48.0
36,CMB,1471,713,48.47042828008158,97.6
37,CMBC,2466,1072,43.47120843471208,93.6
38,CPP,2970,536,18.04713804713805,23.2
39,Cathay,317,93,29.33753943217666,61.6
40,CitiBank,234,66,28.205128205128204,56.8
41,CreditSuisse,1383,370,26.75343456254519,52.8
42,DBS,991,375,37.84056508577195,82.4
43,DGB,1806,437,24.197120708748614,46.4
44,Dahsing,258,92,35.65891472868217,76.0
45,DaiichiLife,3634,702,19.31755641166758,28.0
46,Danamon,905,373,41.21546961325967,88.0
47,Deutsche,84,41,48.80952380952381,98.4
48,EFUND,486,100,20.5761316872428,36.0
49,EVERBRIGHT,218,61,27.981651376146786,55.2
50,Edward,491,124,25.254582484725052,49.6
51,FDC,614,167,27.19869706840391,54.4
52,FF,10090,690,6.838453914767097,2.4
53,FIDELITY,720,139,19.305555555555557,27.2
54,FWD,293,96,32.76450511945392,70.4
55,Fisch,70,13,18.571428571428573,24.8
56,Fukoku,589,38,6.451612903225806,1.6
57,Fullerton,43,11,25.581395348837212,51.2
58,GAM,538,96,17.843866171003718,22.4
59,GEPF,3576,216,6.0402684563758395,0.8
60,GOLDMAN,919,192,20.89227421109902,36.8
61,GPF,3863,1050,27.180947450168265,53.6
62,GPIF,928,119,12.823275862068966,13.6
63,HANGSENG,4710,1695,35.98726114649681,77.6
64,HLB,1683,715,42.48366013071895,91.2
65,HSBCAM,1206,234,19.402985074626866,28.8
66,HSBCBank,6706,892,13.301521025946913,15.2
67,Hana,881,330,37.457434733257664,80.8
68,Harbor,101,9,8.91089108910891,8.0
69,ICBC,790,344,43.54430379746835,94.4
70,ISIF,202,41,20.2970297029703,33.6
71,Insight,572,114,19.93006993006993,32.8
72,Invesco,1607,392,24.393279402613565,47.2
73,JPMORGAN,1428,402,28.15126050420168,56.0
74,JapanPost,594,174,29.292929292929294,60.8
75,KBFG,2760,1107,40.108695652173914,85.6
76,KWSP_EPF,1068,168,15.730337078651685,19.2
77,Krungthai,3364,1334,39.6551724137931,84.8
78,Kyobo,2008,575,28.63545816733068,58.4
79,LPF,1571,161,10.248249522597073,10.4
80,Legal&General,719,162,22.531293463143253,43.2
81,MUFG,2350,535,22.76595744680851,44.0
82,Mandiri,1801,581,32.25985563575791,66.4
83,Manulife,888,295,33.22072072072072,71.2
84,Maybank,3964,1365,34.43491422805247,74.4
85,MeijiYasuda,2138,305,14.265668849391954,16.8
86,Mellon,1067,348,32.61480787253983,69.6
87,Mizuho,134,48,35.82089552238806,76.8
88,Morgan,1821,459,25.205930807248766,48.8
89,Muzinich,224,38,16.964285714285715,21.6
90,NPF,2302,172,7.471763683753258,4.8
91,NZSF,399,87,21.804511278195488,39.2
92,NanShanLife,856,277,32.35981308411215,67.2
93,Natixis,122,31,25.40983606557377,50.4
94,Neuberger,656,88,13.414634146341465,16.0
95,Ninetyone,724,144,19.88950276243094,32.0
96,NipponLife,4400,699,15.886363636363637,20.0
97,OCBC,1126,431,38.27708703374778,83.2
98,PGIM,463,131,28.293736501079913,57.6
99,PICTET,360,70,19.444444444444446,29.6
100,PIMCO,375,74,19.733333333333334,31.2
101,PSBC,907,462,50.93715545755237,100.0
102,Pinebridge,653,128,19.60183767228178,30.4
103,PingAn,7353,2127,28.926968584251327,59.2
104,Prudential,1531,455,29.719137818419334,62.4
105,RHB,3897,1429,36.669232743135744,78.4
106,SBI,699,285,40.772532188841204,86.4
107,SCB,987,443,44.883485309017225,95.2
108,SMTH,2992,930,31.082887700534762,64.0
109,Schroders,586,126,21.501706484641637,38.4
110,ShinKong,3256,1059,32.524570024570025,68.8
111,Shinhan,609,190,31.198686371100166,64.8
112,Sinopac,7083,3076,43.427926020048005,92.8
113,SunLife,2363,740,31.316123571730852,65.6
114,TCW,24,2,8.333333333333332,7.2
115,TIAA,425,95,22.35294117647059,41.6
116,TROWEPRICE,483,113,23.395445134575567,45.6
117,TaiwanLife,342,142,41.52046783625731,88.8
118,TokioMarine,7262,1492,20.54530432387772,35.2
119,UBS,3539,1202,33.96439672223792,72.8
120,UOB,1335,497,37.22846441947566,80.0
121,UOBAM,40,13,32.5,68.0
122,VP,2482,205,8.259468170829976,6.4
123,Vanguard,505,58,11.485148514851486,12.0
124,Wellington,537,89,16.573556797020483,20.8
