,name,total_sent,e_sent,percent,percentile,type
0,1STSTATE,839,241,28.72467222884386,57.6,am
1,ABERDEEN,957,387,40.43887147335423,84.8,am
2,AIA,2480,676,27.258064516129032,48.8,ins
3,AIIB,152,89,58.55263157894737,99.2,ab
4,ALLIANZ,658,284,43.161094224924014,92.8,am
5,AP1,3121,353,11.310477411086191,12.0,pf
6,AP2,5007,1379,27.541441981226285,51.2,pf
7,AP3,4439,740,16.670421266050912,20.8,pf
8,AP4,4443,720,16.205266711681297,19.2,pf
9,AP7,1817,628,34.562465602641716,70.4,pf
10,AVIVA,1063,388,36.50047036688618,78.4,am
11,AXA,18389,2291,12.458534993746262,14.4,ins
12,AXAAM,914,435,47.59299781181619,97.6,am
13,Aegon,9743,1358,13.93821204967669,17.6,am
14,Ameriprise,986,264,26.774847870182555,47.2,am
15,AsahiMutual,450,19,4.222222222222222,0.8,ins
16,Ashmore,827,246,29.746070133010882,60.8,am
17,BDO,1357,522,38.46720707442889,82.4,ab
18,BEA,699,236,33.76251788268956,69.6,ab
19,BNI,2037,664,32.59695630829651,64.8,ab
20,BNP,619,169,27.30210016155089,49.6,am
21,BOA,3461,328,9.477029760184918,7.2,am
22,BOC,3045,290,9.523809523809524,8.0,ab
23,BOCHK,1873,614,32.78163374265883,66.4,am
24,BOCOM,286,100,34.96503496503497,73.6,am
25,BRI,836,326,38.995215311004785,83.2,ab
26,BangkokBank,1037,274,26.422372227579555,45.6,ab
27,Barings,205,84,40.97560975609756,85.6,am
28,BlackRock,1934,575,29.7311271975181,60.0,am
29,CAPITAL,62,8,12.903225806451612,16.0,am
30,CCB,625,204,32.64,65.6,ab
31,CHBank,365,104,28.493150684931507,56.8,ab
32,CICC,4775,524,10.973821989528796,10.4,am
33,CIMB,5728,1992,34.77653631284916,72.8,ab
34,CITICBank,905,185,20.441988950276244,28.8,ab
35,CITICCapital,48,14,29.166666666666668,58.4,am
36,CMB,1471,320,21.753908905506457,32.8,ab
37,CMBC,2466,548,22.22222222222222,34.4,am
38,CPP,2970,1059,35.65656565656566,76.0,pf
39,Cathay,317,67,21.13564668769716,31.2,ins
40,CitiBank,234,166,70.94017094017094,100.0,ab
41,CreditSuisse,1383,503,36.370209689081705,77.6,am
42,DBS,991,368,37.134207870837535,80.0,ab
43,DGB,1806,213,11.794019933554816,13.6,ins
44,Dahsing,258,67,25.968992248062015,43.2,ab
45,DaiichiLife,3634,1020,28.068244358833244,54.4,ins
46,Danamon,905,383,42.32044198895027,89.6,ab
47,Deutsche,84,49,58.333333333333336,98.4,am
48,EFUND,486,56,11.522633744855968,12.8,am
49,EVERBRIGHT,218,58,26.605504587155966,46.4,am
50,Edward,491,230,46.84317718940937,96.8,am
51,FDC,614,274,44.62540716612378,93.6,pf
52,FF,10090,649,6.432111000991081,3.2,pf
53,FIDELITY,720,250,34.72222222222222,72.0,am
54,FWD,293,31,10.580204778156997,8.8,ins
55,Fisch,70,19,27.142857142857142,48.0,am
56,Fukoku,589,32,5.432937181663837,1.6,ins
57,Fullerton,43,18,41.86046511627907,88.0,am
58,GAM,538,99,18.401486988847584,24.0,am
59,GEPF,3576,241,6.739373601789709,4.8,pf
60,GOLDMAN,919,322,35.03808487486398,75.2,am
61,GPF,3863,1352,34.99870566916904,74.4,pf
62,GPIF,928,169,18.211206896551722,23.2,pf
63,HANGSENG,4710,1165,24.734607218683653,37.6,am
64,HLB,1683,370,21.984551396316103,33.6,ab
65,HSBCAM,1206,246,20.398009950248756,28.0,am
66,HSBCBank,6706,746,11.124366239188786,11.2,ab
67,Hana,881,189,21.45289443813848,32.0,ab
68,Harbor,101,20,19.801980198019802,26.4,am
69,ICBC,790,189,23.924050632911392,36.8,ab
70,ISIF,202,67,33.16831683168317,67.2,pf
71,Insight,572,150,26.223776223776223,44.8,am
72,Invesco,1607,522,32.482887367766025,64.0,am
73,JPMORGAN,1428,523,36.62464985994397,79.2,am
74,JapanPost,594,97,16.329966329966332,20.0,ins
75,KBFG,2760,633,22.934782608695652,36.0,ins
76,KWSP_EPF,1068,183,17.134831460674157,21.6,pf
77,Krungthai,3364,847,25.178359096313912,39.2,ab
78,Kyobo,2008,325,16.185258964143426,18.4,ins
79,LPF,1571,172,10.9484404837683,9.6,pf
80,Legal&General,719,306,42.55910987482615,91.2,am
81,MUFG,2350,586,24.93617021276596,38.4,ab
82,Mandiri,1801,813,45.141588006662964,95.2,ab
83,Manulife,888,297,33.44594594594595,68.8,am
84,Maybank,3964,1022,25.782038345105953,41.6,ab
85,MeijiYasuda,2138,160,7.483629560336763,5.6,ins
86,Mellon,1067,343,32.146204311152765,62.4,am
87,Mizuho,134,50,37.3134328358209,80.8,ab
88,Morgan,1821,715,39.26414058209775,84.0,am
89,Muzinich,224,43,19.196428571428573,24.8,am
90,NPF,2302,136,5.907906168549087,2.4,pf
91,NZSF,399,186,46.616541353383454,96.0,pf
92,NanShanLife,856,168,19.626168224299064,25.6,ins
93,Natixis,122,16,13.114754098360656,16.8,am
94,Neuberger,656,170,25.914634146341463,42.4,am
95,Ninetyone,724,206,28.45303867403315,56.0,am
96,NipponLife,4400,289,6.568181818181819,4.0,ins
97,OCBC,1126,390,34.63587921847247,71.2,ab
98,PGIM,463,198,42.76457883369331,92.0,am
99,PICTET,360,129,35.833333333333336,76.8,am
100,PIMCO,375,155,41.333333333333336,87.2,am
101,PSBC,907,237,26.130099228224918,44.0,ab
102,Pinebridge,653,117,17.917304747320063,22.4,am
103,PingAn,7353,1657,22.535019719842243,35.2,ins
104,Prudential,1531,391,25.538863487916398,40.0,ins
105,RHB,3897,1078,27.66230433666923,52.0,ab
106,SBI,699,196,28.040057224606578,53.6,ab
107,SCB,987,406,41.13475177304964,86.4,ab
108,SMTH,2992,964,32.219251336898395,63.2,am
109,Schroders,586,219,37.37201365187713,81.6,am
110,ShinKong,3256,681,20.915233415233413,30.4,ins
111,Shinhan,609,181,29.720853858784896,59.2,ab
112,Sinopac,7083,1936,27.333050967104334,50.4,am
113,SunLife,2363,1064,45.02750740584003,94.4,ins
114,TCW,24,3,12.5,15.2,am
115,TIAA,425,141,33.1764705882353,68.0,am
116,TROWEPRICE,483,136,28.157349896480333,55.2,am
117,TaiwanLife,342,71,20.760233918128655,29.6,ins
118,TokioMarine,7262,2026,27.898650509501515,52.8,ins
119,UBS,3539,1496,42.27182820005651,88.8,am
120,UOB,1335,428,32.059925093632955,61.6,ab
121,UOBAM,40,17,42.5,90.4,am
122,VP,2482,215,8.662369057211926,6.4,am
123,Vanguard,505,102,20.198019801980198,27.2,am
124,Wellington,537,138,25.69832402234637,40.8,am
