,name,bigram,count,type
0,Maybank,business,614.0,ab
1,Maybank,community,561.0,ab
2,Maybank,customer,693.0,ab
3,Maybank,employee,774.0,ab
4,Maybank,financial,634.0,ab
5,Maybank,group,569.0,ab
6,Maybank,maybank,571.0,ab
7,Maybank,programme,465.0,ab
8,Maybank,service,582.0,ab
9,Maybank,support,472.0,ab
10,UOB,approach,220.0,ab
11,UOB,business,217.0,ab
12,UOB,colleague,199.0,ab
13,UOB,customer,372.0,ab
14,UOB,develop,185.0,ab
15,UOB,financial,226.0,ab
16,UOB,management,200.0,ab
17,UOB,risk,297.0,ab
18,UOB,sustainability,180.0,ab
19,UOB,sustainable,222.0,ab
20,AIIB,aiib,94.0,ab
21,AIIB,bank,33.0,ab
22,AIIB,development,33.0,ab
23,AIIB,environmental,43.0,ab
24,AIIB,financing,50.0,ab
25,AIIB,infrastructure,41.0,ab
26,AIIB,investment,26.0,ab
27,AIIB,project,96.0,ab
28,AIIB,social,37.0,ab
29,AIIB,sustainable,36.0,ab
30,BRI,business,124.0,ab
31,BRI,customer,97.0,ab
32,BRI,employee,111.0,ab
33,BRI,finance,128.0,ab
34,BRI,financial,102.0,ab
35,BRI,management,113.0,ab
36,BRI,report,103.0,ab
37,BRI,service,138.0,ab
38,BRI,support,96.0,ab
39,BRI,sustainable,170.0,ab
40,CHBank,bank,119.0,ab
41,CHBank,banking,56.0,ab
42,CHBank,branch,48.0,ab
43,CHBank,customer,95.0,ab
44,CHBank,employee,130.0,ab
45,CHBank,management,46.0,ab
46,CHBank,policy,46.0,ab
47,CHBank,provide,60.0,ab
48,CHBank,risk,57.0,ab
49,CHBank,service,88.0,ab
50,Mizuho,co,25.0,ab
51,Mizuho,company,22.0,ab
52,Mizuho,director,21.0,ab
53,Mizuho,emission,24.0,ab
54,Mizuho,employee,57.0,ab
55,Mizuho,group,24.0,ab
56,Mizuho,management,27.0,ab
57,Mizuho,number,39.0,ab
58,Mizuho,total,19.0,ab
59,Mizuho,update,23.0,ab
60,CMB,branch,233.0,ab
61,CMB,business,139.0,ab
62,CMB,customer,284.0,ab
63,CMB,development,135.0,ab
64,CMB,employee,215.0,ab
65,CMB,financial,210.0,ab
66,CMB,help,140.0,ab
67,CMB,management,240.0,ab
68,CMB,risk,164.0,ab
69,CMB,service,279.0,ab
70,SBI,bank,119.0,ab
71,SBI,business,77.0,ab
72,SBI,customer,107.0,ab
