fullname,shortform,type
Aegon Asset Management,Aegon,am
AIA Group,AIA,ins
Allianz Global Investors,Allianz,am
Ameriprise Financial,Ameriprise,am
AP Fonden 1,AP Fonden 1,pf
AP Fonden 2,AP Fonden 2,pf
AP Fonden 3,AP Fonden 3,pf
AP Fonden 4,AP Fonden 4,pf
AP Fonden 7,AP Fonden 7,pf
Asahi Mutual Life Insurance,Asahi Life,ins
Ashmore Group,Ashmore,am
Asian Infrastructure Investment Bank,AIIB,ab
Aviva Investors,Aviva,am
AXA Insurance,AXA,ins 
AXA Investment Managers,AXA IM,am
Bangkok Bank,Bangkok Bank,ab
Bank Negara Indonesia,BNI,ab
Bank of America,BofA,am
Bank of China,BOC,ab
Bank of China (Hong Kong),BOCHK,am
Bank of East Asia,BEA,ab
Bank Rakyat Indonesia,BRI,ab
Barings,Barings,am
BDO Unibank,BDO,ab
BlackRock,BlackRock,am
BNP Paribas,BNP Paribas,am
BNY Mellon,BNY Mellon,am
BOCOM International ,BOCOM,am
California Public Employees' Retirement System ,CalPERS,pf
California State Teachers' Retirement System ,CalSTRS,pf
Capital Group,Capital Group,am
Cathay Life Insurance,Cathay Life,ins
China CITIC Bank,CNCBI,ab
China Construction Bank,CCB,ab
China Everbright Limited,Everbright,am
China International Capital Corporation,CICC,am
China Merchants Bank,CMB,ab
China Minsheng Banking Corporation,CMBC,am
Chong Hing Bank,Chong Hing,ab
CIMB,CIMB,ab
Citibank,CitiBank,ab
CITIC Capital,CITIC Capital,am
CPP Investment Board,CPP,pf
Credit Suisse,Credit Suisse,am
Dah Sing Bank,Dah Sing,ab
Dai-ichi Life,Daiichi Life,ins
DBS Bank,DBS,ab
Deutsche Bank,Deutsche,am
DGB Financial Group,DGB,ins
E Fund Management,E Fund,am
Edward Jones Investments,Edward Jones,am
Fidelity International,Fidelity,am
First Sentier Investors,First Sentier,am
Fisch Asset Management,Fisch,am
Fonds de Compensation,FDC,pf
Fukoku Mutual Life Insurance,Fukoku Life,ins
Fullerton Fund Management,Fullerton,am
Future Fund,Future Fund,pf
FWD Insurance,FWD,ins
GAM Investments,GAM,am
Goldman Sachs,Goldman Sachs,am
Government Employees Pension Fund,GEPF,pf
Government Pension Fund Global,GPF,pf
Government Pension Investment Fund,GPIF,pf
Hana Financial Group,Hana Bank,ab
Hang Seng Bank,Hang Seng,am
Hong Leong Bank,Hong Leong,ab
HSBC,HSBC,ab
Industrial and Commercial Bank of China,ICBC,ab
Insight Investment,Insight,am
Invesco,Invesco,am
Ireland Strategic Investment Fund,ISIF,pf
Japan Post Insurance,JP Insurance,ins
JPMorgan Chase,JPMorgan Chase,am
KB Financial Group,KB Financial,ins
Krungthai Bank,KTB,ab
Kyobo Life Insurance,Kyobo Life,ins
Legal & General,L&G,am
Manulife,Manulife,am
Maybank,Maybank,ab
Meiji Yasuda Life,Meiji Yasuda,ins
Morgan Stanley,Morgan Stanley,am
MUFG Bank,MUFG,ab
Muzinich & Co.,Muzinich,am
Nan Shan Life Insurance,Nan Shan Life,ins
National Pension Service,NPS,pf
Neuberger Berman,NB,am
Ninety One,Ninety One,am
Nippon Life,Nippon Life,ins
OCBC Bank,OCBC,ab
PGIM Real Estate,PGIM,am
Pictet Group,Pictet,am
PIMCO,PIMCO,am
Ping An Insurance,Ping An,ins
Postal Savings Bank of China,PSBC,ab
Prudential,Prudential,ins
RHB Bank,RHB,ab
Schroders,Schroders,am
Shin Kong Insurance,Shin Kong,ins
Shinhan Financial Group,Shinhan,ab
Siam Commercial Bank,SCB,ab
Sinopac Financial Holdings,Sinopac,am
Standard Life Aberdeen,Standard Life,am
State Bank of India,SBI,ab
Stichting Pensioenfonds ABP,ABP,pf
Sumitomo Mitsui Trust Holdings,SuMi TRUST,am
Sun Life Financial,Sun Life,ins
T. Rowe Price,T. Rowe Price,am
Taiwan Life Insurance,Taiwan Life,ins
TIAA,TIAA,am
Tokio Marine Holdings,Tokio Marine,ins
UBS,UBS,am
United Overseas Bank,UOB,ab
UOB Asset Management,UOB AM,am
Value Partners,Value Partners,am
Vanguard,Vanguard,am
Wellington Management,Wellington,am
