,name,sentiment_score,type,difference_from_avg
0,AIIB,1.0064208738094318,ab,0.11660806241590815
1,BDO,0.9092013547178425,ab,0.01938854332431883
2,BEA,0.9072463248919032,ab,0.017433513498379516
3,BNI,0.892849902754544,ab,0.003037091361020372
4,BOC,0.7793456841118388,ab,0.11046712728168484
5,BRI,0.8563484575684231,ab,0.03346435382510049
6,BangkokBank,0.9509740113061776,ab,0.06116119991265401
7,CCB,0.9067895050612831,ab,0.016976693667759446
8,CHBank,0.8433224333531202,ab,0.04649037804040346
9,CIMB,0.8661390128059344,ab,0.023673798587589223
10,CITICBank,0.9157400579569116,ab,0.025927246563387962
11,CMB,0.8881242665683918,ab,0.0016885448251318103
12,CitiBank,0.8304457609781805,ab,0.05936705041534318
13,DBS,0.8819937827240047,ab,0.00781902866951889
14,Dahsing,0.8282695816190064,ab,0.061543229774517205
15,Danamon,0.736009549941188,ab,0.1538032614523357
16,HLB,0.9253152029743467,ab,0.03550239158082302
17,HSBCBank,0.866363019581079,ab,0.023449791812444665
18,Hana,0.8781259101785108,ab,0.011686901215012813
19,ICBC,0.9366339532160063,ab,0.04682114182248265
20,Krungthai,0.9834771611160872,ab,0.09366434972256354
21,MUFG,0.8661943149698447,ab,0.02361849642367897
22,Mandiri,0.7911531083217126,ab,0.09865970307181104
23,Maybank,0.8600246021339297,ab,0.029788209259593912
24,Mizuho,1.007964828069086,ab,0.11815201667556241
25,OCBC,0.8442939638172018,ab,0.04551884757632185
26,PSBC,0.9340714935623405,ab,0.0442586821688169
27,RHB,0.8620635914013887,ab,0.027749219992134977
28,SBI,0.9783964241003319,ab,0.08858361270680826
29,SCB,0.8980451748474,ab,0.008232363453876346
30,Shinhan,0.9599647837539701,ab,0.07015197236044646
31,UOB,0.882701872381339,ab,0.007110939012184625
32,1STSTATE,0.8718887054441162,am,0.04562375299583166
33,ABERDEEN,0.9635860016829927,am,0.13732104923470811
34,ALLIANZ,0.8555885672213404,am,0.029323614773055784
35,AVIVA,0.8265304203421999,am,0.00026546789391534986
36,AXAAM,0.8686765268072576,am,0.042411574358973025
37,Aegon,0.8852394987201063,am,0.05897454627182175
38,Ameriprise,0.8682894466564762,am,0.042024494208191654
39,Ashmore,0.8838141585505705,am,0.05754920610228598
40,BNP,0.8756272519561163,am,0.049362299507831775
41,BOA,0.8472566085126715,am,0.02099165606438691
42,BOCHK,0.8884958055605023,am,0.062230853112217765
43,BOCOM,1.0051747032061595,am,0.17890975075787496
44,Barings,0.886049036434257,am,0.05978408398597246
45,BlackRock,0.8499282064665248,am,0.02366325401824021
46,CAPITAL,0.0,am,0.8262649524482846
47,CICC,0.9083074645224586,am,0.08204251207417401
48,CITICCapital,0.0,am,0.8262649524482846
49,CMBC,0.885021593457321,am,0.05875664100903644
50,CreditSuisse,0.8657145092426851,am,0.03944955679440054
51,Deutsche,0.941671412580079,am,0.11540646013179445
52,EFUND,0.8756463558592482,am,0.04938140341096364
53,EVERBRIGHT,0.8342936829369784,am,0.008028730488693792
54,Edward,0.7726664094805358,am,0.0535985429677488
55,FIDELITY,0.8635943706335257,am,0.03732941818524116
56,Fisch,0.6931471805599453,am,0.1331177718883393
