name,initiatives,count,type
PSBC,"['Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change']",2,ab
CCB,"['Global Reporting Initiative', 'Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change', 'FTSE Russell', 'Task Force on Climate-related Financial Disclosure']",5,ab
CIMB,"['Global Reporting Initiative', 'Principles for Responsible Banking', 'Sustainable Development Goals', 'Collective Commitment to Climate Action', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Green Bond Principles', 'Asia Sustainable Finance Initiative', 'Global Investors for Sustainable Development Alliance ', 'Principles for Responsible Investment', 'FTSE Russell', 'ASEAN Green Bond Standards', 'United Nations Framework Convention on Climate Change', 'Sustainability Accounting Standards Board', 'Stock Exchange of Hong Kong']",15,ab
BEA,"['Stock Exchange of Hong Kong', 'Carbon Disclosure Project', 'Equator Principles', 'Principles for Responsible Investment', 'Global Reporting Initiative']",5,ab
BRI,"['Green Bond Principles', 'Sustainable Development Goals', 'Sustainability Banking Assessment', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Principles for Responsible Banking', 'United Nations Framework Convention on Climate Change']",7,ab
AIIB,"['Sustainable Development Goals', 'United Nations Framework Convention on Climate Change']",2,ab
RHB,"['Global Reporting Initiative', 'Sustainable Development Goals', 'UN Global Compact', 'Sustainability Accounting Standards Board', 'Carbon Disclosure Project', 'FTSE Russell', 'Green Bond Principles', 'ASEAN Green Bond Standards', 'Task Force on Climate-related Financial Disclosure', 'United Nations Framework Convention on Climate Change']",10,ab
CNCBI,"['Sustainable Development Goals', 'Stock Exchange of Hong Kong', 'Global Reporting Initiative', 'Intergovernmental Panel on Climate Change']",4,ab
Maybank,"['Global Reporting Initiative', 'Carbon Disclosure Project', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Climate Bonds Initiative', 'Sustainability Accounting Standards Board']",6,ab
Hong Leong,"['Global Reporting Initiative', 'Sustainable Development Goals', 'IFC Performance Standard', 'Task Force on Climate-related Financial Disclosure']",4,ab
CitiBank,"['Equator Principles', 'Green Bond Principles', 'Poseidon Principles', 'Sustainable Development Goals', 'Global Investors for Sustainable Development Alliance ', 'Paris Agreement Capital Transition Assessment', 'Principles for Responsible Banking', 'Sustainable Markets Initiative', 'Partnership for Carbon Accounting Financials', 'Task Force on Climate-related Financial Disclosure', 'Intergovernmental Panel on Climate Change', 'Asia Investor Group on Climate Change', 'Climate Action 100+', 'Investor Group on Climate Change', 'Global Reporting Initiative', 'United Nations Framework Convention on Climate Change']",16,ab
MUFG,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Equator Principles', 'Partnership for Carbon Accounting Financials', 'Science Based Targets initiative', 'Keidanren Challenge Zero', 'Poseidon Principles', 'Principles for Financial Action for the 21st Century', 'Principles for Responsible Banking', 'Principles for Responsible Investment', 'UN Global Compact', 'Sustainability Accounting Standards Board', 'FTSE Russell', 'United Nations Environment Program Finance Initiative', 'Carbon Disclosure Project', 'Climate Action 100+', 'Green Bond Principles', 'Climate Bonds Initiative', 'Intergovernmental Panel on Climate Change']",19,ab
KTB,"['Global Reporting Initiative', 'Sustainable Development Goals']",2,ab
UOB,"['Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Asia Sustainable Finance Initiative', 'Partnership for Carbon Accounting Financials', 'Sustainability Linked Loan Principles', 'Green Bond Principles', 'Intergovernmental Panel on Climate Change']",10,ab
SBI,"['Sustainable Development Goals', 'Global Reporting Initiative', 'Climate Bonds Initiative']",3,ab
BDO,"['Sustainable Development Goals', 'Global Reporting Initiative', 'United Nations Framework Convention on Climate Change']",3,ab
Bangkok Bank,"['Sustainable Development Goals', 'Global Reporting Initiative', 'Intergovernmental Panel on Climate Change']",3,ab
BNI,['Sustainable Development Goals'],1,ab
ICBC,"['Stock Exchange of Hong Kong', 'Global Reporting Initiative']",2,ab
OCBC,"['Sustainable Development Goals', 'Global Reporting Initiative', 'Intergovernmental Panel on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles', 'Equator Principles', 'Asia Sustainable Finance Initiative', 'UN Global Compact']",8,ab
Hana Bank,"['Global Reporting Initiative', 'Principles for Responsible Banking', 'Sustainable Development Goals', 'UN Global Compact', 'Task Force on Climate-related Financial Disclosure', 'Equator Principles', 'Carbon Disclosure Project']",7,ab
CMB,"['Global Reporting Initiative', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Green Bond Principles', 'Stock Exchange of Hong Kong']",5,ab
Shinhan,"['Equator Principles', 'Global Reporting Initiative', 'Partnership for Carbon Accounting Financials', 'UN Global Compact', 'Principles for Responsible Banking', 'Sustainable Development Goals', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Value Balancing Alliance', 'Science Based Targets initiative', 'Sustainability Accounting Standards Board']",11,ab
DBS,"['UN Global Compact', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'Equator Principles', 'Carbon Disclosure Project', 'Green Investment Principle', 'Sustainable Development Goals']",8,ab
SCB,"['FTSE Russell', 'Sustainable Development Goals', 'ASEAN Green Bond Standards', 'Green Bond Principles', 'Climate Bonds Initiative', 'Equator Principles', 'Task Force on Climate-related Financial Disclosure', 'Intergovernmental Panel on Climate Change']",8,ab
BOC,"['Stock Exchange of Hong Kong', 'Green Investment Principle', 'Green Bond Principles', 'International Platform on Sustainable Finance', 'Task Force on Climate-related Financial Disclosure']",5,ab
Dah Sing,['Stock Exchange of Hong Kong'],1,ab
HSBC,"['Sustainable Markets Initiative', 'Task Force on Climate-related Financial Disclosure', 'Paris Agreement Capital Transition Assessment', 'Stock Exchange of Hong Kong', 'Equator Principles', 'Intergovernmental Panel on Climate Change', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Carbon Disclosure Project']",9,ab
Chong Hing,['Stock Exchange of Hong Kong'],1,ab
Sinopac,"['Sustainable Development Goals', 'Equator Principles', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Intergovernmental Panel on Climate Change', 'Carbon Disclosure Project', 'UN Global Compact', 'Principles for Responsible Investment', 'Science Based Targets initiative', 'Climate Action 100+']",11,am
SuMi TRUST,"['Global Reporting Initiative', 'Principles for Responsible Banking', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Poseidon Principles', 'Principles for Financial Action for the 21st Century', 'Principles for Responsible Investment', 'UN Global Compact', 'Equator Principles', 'Climate Action 100+', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Carbon Disclosure Project', 'Intergovernmental Panel on Climate Change', 'Green Bond Principles', 'Science Based Targets initiative']",17,am
Credit Suisse,"['Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Climate Bonds Initiative', 'Sustainable Development Goals', 'Paris Agreement Capital Transition Assessment', 'Poseidon Principles', 'Equator Principles', 'Science Based Targets initiative', 'Principles for Responsible Banking', 'Global Real Estate Sustainability Benchmark', 'UN Global Compact', 'Green Bond Principles', 'Climate Action 100+', 'International Corporate Governance Network', 'Principles for Responsible Investment', 'Intergovernmental Panel on Climate Change']",16,am
T. Rowe Price,"['Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Carbon Disclosure Project', 'Intergovernmental Panel on Climate Change', 'The Greenhouse Gas Protocol']",6,am
