,name,total_sent,e_sent,percent,percentile,type
0,ABP,676,235.0,34.76331360946745,59.32203389830509,pf
1,AIA,2480,787.0,31.733870967741932,49.152542372881356,ins
2,AIIB,152,80.0,52.63157894736842,96.61016949152543,ab
3,AP Fonden 1,2428,452.0,18.616144975288304,12.711864406779661,pf
4,AP Fonden 2,3522,1310.0,37.194775695627484,69.49152542372882,pf
5,AP Fonden 3,3468,894.0,25.77854671280277,26.271186440677965,pf
6,AP Fonden 4,3378,877.0,25.96210775606868,27.966101694915253,pf
7,AP Fonden 7,1817,661.0,36.37864611997799,66.94915254237289,pf
8,AXA,18389,3886.0,21.13219859698733,16.10169491525424,ins
9,AXA IM,914,507.0,55.470459518599554,98.30508474576271,am
10,Aegon,7377,1176.0,15.941439609597396,9.322033898305085,am
11,Allianz,658,285.0,43.31306990881459,88.13559322033899,am
12,Ameriprise,747,203.0,27.17536813922356,30.508474576271187,am
13,Asahi Life,450,79.0,17.555555555555554,11.864406779661017,ins
14,Ashmore,827,253.0,30.59250302297461,45.76271186440678,am
15,Aviva,1063,398.0,37.4412041392286,72.03389830508475,am
16,BDO,1357,527.0,38.83566691230656,76.27118644067797,ab
17,BEA,699,254.0,36.33762517882689,66.10169491525424,ab
18,BNI,2037,702.0,34.46244477172312,57.6271186440678,ab
19,BNP Paribas,619,211.0,34.087237479806134,55.932203389830505,am
20,BNY Mellon,1067,359.0,33.64573570759138,52.54237288135593,am
21,BOC,3045,448.0,14.71264367816092,7.627118644067797,ab
22,BOCHK,1873,616.0,32.888414308595834,51.69491525423729,am
23,BOCOM,286,118.0,41.25874125874126,81.35593220338983,am
24,BRI,836,325.0,38.875598086124405,77.11864406779661,ab
25,Bangkok Bank,1037,287.0,27.67598842815815,33.05084745762712,ab
26,Barings,205,87.0,42.4390243902439,84.7457627118644,am
27,BlackRock,1934,714.0,36.918304033092035,68.64406779661017,am
28,BofA,3461,482.0,13.926610806125398,5.932203389830509,am
29,CCB,625,212.0,33.92,53.389830508474574,ab
30,CICC,4777,731.0,15.302491103202847,8.474576271186441,am
31,CIMB,5728,2073.0,36.190642458100555,65.2542372881356,ab
32,CITIC Capital,48,19.0,39.58333333333333,78.8135593220339,am
33,CMB,1471,365.0,24.813052345343305,22.88135593220339,ab
34,CMBC,2004,507.0,25.299401197604794,23.728813559322035,am
35,CNCBI,905,229.0,25.303867403314918,24.576271186440678,ab
36,CPP,2356,1039.0,44.10016977928693,89.83050847457628,pf
37,CalPERS,446,104.0,23.318385650224215,17.796610169491526,pf
38,CalSTRS,349,96.0,27.507163323782237,32.20338983050848,pf
39,Capital Group,62,15.0,24.193548387096776,22.033898305084747,am
40,Cathay Life,317,132.0,41.6403785488959,83.05084745762711,ins
41,Chong Hing,365,112.0,30.684931506849317,46.610169491525426,ab
42,CitiBank,234,152.0,64.95726495726495,99.15254237288136,ab
43,Credit Suisse,1383,603.0,43.600867678958785,88.98305084745763,am
44,DBS,991,401.0,40.46417759838547,80.50847457627118,ab
45,DGB,1806,298.0,16.500553709856035,10.169491525423728,ins
46,Dah Sing,258,72.0,27.906976744186046,33.898305084745765,ab
47,Daiichi Life,1897,623.0,32.84132841328413,50.847457627118644,ins
48,Deutsche,84,57.0,67.85714285714286,100.0,am
49,E Fund,88,25.0,28.40909090909091,36.440677966101696,am
50,Edward Jones,491,229.0,46.63951120162933,94.0677966101695,am
51,Everbright,218,59.0,27.06422018348624,29.661016949152543,am
52,FDC,614,333.0,54.23452768729642,97.45762711864407,pf
53,FWD,293,39.0,13.310580204778159,4.237288135593221,ins
54,Fidelity,720,269.0,37.361111111111114,71.1864406779661,am
55,First Sentier,839,268.0,31.942789034564957,50.0,am
56,Fisch,70,15.0,21.428571428571427,16.949152542372882,am
57,Fukoku Life,589,83.0,14.091680814940577,6.779661016949152,ins
58,Fullerton,43,20.0,46.51162790697674,93.22033898305085,am
59,Future Fund,4380,594.0,13.561643835616438,5.084745762711864,pf
60,GAM,74,28.0,37.83783783783784,72.88135593220339,am
61,GEPF,2769,281.0,10.148067894546768,1.694915254237288,pf
62,GPF,2513,1043.0,41.5041782729805,82.20338983050847,pf
63,GPIF,1371,696.0,50.76586433260394,95.76271186440678,pf
64,Goldman Sachs,919,321.0,34.92927094668117,60.16949152542373,am
65,HSBC,6706,1281.0,19.102296450939455,13.559322033898304,ab
66,HSBC AM,2,0.0,0.0,0.847457627118644,am
67,Hana Bank,881,228.0,25.879682179341657,27.11864406779661,ab
68,Hang Seng,2645,775.0,29.300567107750474,41.52542372881356,am
69,Hong Leong,1683,393.0,23.351158645276293,18.64406779661017,ab
70,ICBC,790,226.0,28.607594936708864,37.28813559322034,ab
71,ISIF,112,43.0,38.392857142857146,74.57627118644068,pf
72,Insight,572,161.0,28.146853146853147,35.59322033898305,am
73,Invesco,1607,556.0,34.59863098942128,58.47457627118644,am
74,JP Insurance,594,119.0,20.033670033670035,14.40677966101695,ins
75,JPMorgan Chase,1428,559.0,39.14565826330532,77.96610169491525,am
76,KB Financial,2131,611.0,28.671984983575786,38.13559322033898,ins
77,KTB,3364,879.0,26.12960760998811,28.8135593220339,ab
78,Kyobo Life,2008,509.0,25.34860557768924,25.423728813559322,ins
79,L&G,719,330.0,45.8970792767733,92.37288135593221,am
80,MUFG,2350,801.0,34.08510638297872,55.08474576271186,ab
81,Manulife,839,325.0,38.73659117997616,75.42372881355932,am
82,Maybank,3964,1083.0,27.320887991927346,31.35593220338983,ab
83,Meiji Yasuda,2138,445.0,20.81384471468662,15.254237288135593,ins
84,Morgan Stanley,1821,669.0,36.73805601317957,67.79661016949153,am
85,Muzinich,224,77.0,34.375,56.779661016949156,am
86,NB,656,207.0,31.554878048780488,48.30508474576271,am
87,NPS,1940,229.0,11.804123711340205,3.389830508474576,pf
88,Nan Shan Life,856,204.0,23.83177570093458,19.491525423728813,ins
89,Ninety One,724,216.0,29.83425414364641,42.3728813559322,am
90,Nippon Life,4400,753.0,17.113636363636363,11.016949152542374,ins
91,OCBC,1126,430.0,38.18827708703375,73.72881355932203,ab
92,PGIM,463,206.0,44.49244060475162,90.67796610169492,am
93,PIMCO,375,170.0,45.33333333333333,91.52542372881356,am
94,PSBC,907,254.0,28.004410143329654,34.74576271186441,ab
95,Pictet,360,130.0,36.11111111111111,64.40677966101696,am
96,Ping An,2258,652.0,28.875110717449072,38.983050847457626,ins
97,Prudential,1531,473.0,30.894839973873285,47.45762711864407,ins
98,RHB,3897,1173.0,30.100076982294073,43.220338983050844,ab
99,SBI,699,212.0,30.32904148783977,44.91525423728814,ab
100,SCB,987,479.0,48.530901722391086,94.91525423728814,ab
101,Schroders,586,247.0,42.15017064846416,83.89830508474576,am
102,Shin Kong,3256,778.0,23.894348894348894,20.338983050847457,ins
103,Shinhan,609,214.0,35.139573070607554,61.016949152542374,ab
104,Sinopac,6268,1818.0,29.004467134652202,40.67796610169491,am
105,Standard Life,514,192.0,37.35408560311284,70.33898305084746,am
106,SuMi TRUST,2992,1057.0,35.32754010695187,61.86440677966102,am
107,Sun Life,2363,1016.0,42.996191282268306,87.28813559322033,ins
108,T. Rowe Price,483,195.0,40.37267080745342,79.66101694915254,am
109,TIAA,425,153.0,36.0,62.71186440677966,am
110,Taiwan Life,342,82.0,23.976608187134502,21.1864406779661,ins
111,Tokio Marine,7262,2466.0,33.95758744147618,54.23728813559322,ins
112,UBS,3539,1507.0,42.5826504662334,86.44067796610169,am
113,UOB,1335,482.0,36.10486891385768,63.559322033898304,ab
114,UOB AM,40,17.0,42.5,85.59322033898304,am
115,Value Partners,2482,270.0,10.878323932312652,2.542372881355932,am
116,Vanguard,505,146.0,28.910891089108908,39.83050847457627,am
117,Wellington,537,162.0,30.16759776536313,44.067796610169495,am
