,name,bigram,count,type
0,KTB,business,562.0,ab
1,KTB,customer,721.0,ab
2,KTB,employee,1094.0,ab
3,KTB,financial,454.0,ab
4,KTB,management,499.0,ab
5,KTB,operation,509.0,ab
6,KTB,provide,416.0,ab
7,KTB,risk,495.0,ab
8,KTB,service,464.0,ab
9,KTB,work,483.0,ab
10,Hong Leong,banking,242.0,ab
11,Hong Leong,business,402.0,ab
12,Hong Leong,customer,397.0,ab
13,Hong Leong,digital,198.0,ab
14,Hong Leong,employee,407.0,ab
15,Hong Leong,financial,251.0,ab
16,Hong Leong,management,199.0,ab
17,Hong Leong,programme,217.0,ab
18,Hong Leong,risk,204.0,ab
19,Hong Leong,service,252.0,ab
20,CCB,business,72.0,ab
21,CCB,development,91.0,ab
22,CCB,employee,70.0,ab
23,CCB,finance,117.0,ab
24,CCB,financial,92.0,ab
25,CCB,green,104.0,ab
26,CCB,management,96.0,ab
27,CCB,new,93.0,ab
28,CCB,service,126.0,ab
29,CCB,support,70.0,ab
30,OCBC,business,141.0,ab
31,OCBC,customer,280.0,ab
32,OCBC,employee,269.0,ab
33,OCBC,financial,149.0,ab
34,OCBC,management,179.0,ab
35,OCBC,programme,128.0,ab
36,OCBC,risk,180.0,ab
37,OCBC,support,124.0,ab
38,OCBC,sustainability,147.0,ab
39,OCBC,sustainable,191.0,ab
40,BOC,asset,462.0,ab
41,BOC,business,401.0,ab
42,BOC,credit,399.0,ab
43,BOC,director,391.0,ab
44,BOC,financial,997.0,ab
45,BOC,loan,477.0,ab
46,BOC,management,591.0,ab
47,BOC,risk,637.0,ab
48,BOC,service,362.0,ab
49,BOC,value,429.0,ab
50,PSBC,business,141.0,ab
51,PSBC,customer,149.0,ab
52,PSBC,development,156.0,ab
53,PSBC,employee,152.0,ab
54,PSBC,environmental,120.0,ab
55,PSBC,financial,154.0,ab
56,PSBC,loan,161.0,ab
57,PSBC,management,207.0,ab
58,PSBC,risk,121.0,ab
59,PSBC,service,191.0,ab
60,SBI,banking,64.0,ab
61,SBI,business,79.0,ab
62,SBI,customer,107.0,ab
63,SBI,employee,80.0,ab
64,SBI,loan,63.0,ab
65,SBI,management,103.0,ab
66,SBI,provide,65.0,ab
67,SBI,risk,61.0,ab
68,SBI,service,79.0,ab
69,SBI,ﬁnancial,61.0,ab
70,Maybank,business,624.0,ab
71,Maybank,community,563.0,ab
72,Maybank,customer,695.0,ab
73,Maybank,employee,783.0,ab
74,Maybank,financial,637.0,ab
75,Maybank,management,442.0,ab
76,Maybank,programme,472.0,ab
77,Maybank,risk,447.0,ab
78,Maybank,service,591.0,ab
79,Maybank,support,474.0,ab
80,DBS,approach,122.0,ab
