,name,sentiment_score,type,predicted_sentiment_tree,predicted_sentiment_regression
0,AIIB,0.3970963334655162,ab,0.4137254421234362,0.39447898107228246
1,BDO,0.3502313656759612,ab,0.34669829610475505,0.3246331077601244
2,BEA,0.33833261036238443,ab,0.3387987238329471,0.3320832665809079
3,BNI,0.19814587932924912,ab,0.20052039193205537,0.21376133249026963
4,BOC,0.09233604520887799,ab,0.09358914700675147,0.11298104187913392
5,BRI,0.2501490919738079,ab,0.24744387825577213,0.2525972550449697
6,Bangkok Bank,0.2582382797053893,ab,0.2632630682289792,0.2552464772709774
7,CCB,0.3499096362938704,ab,0.3468523083853228,0.33102775715073524
8,CIMB,0.27307638564467546,ab,0.27363905815083284,0.2787999540454101
9,CMB,0.2346176308986589,ab,0.23011829340001175,0.23616634271732703
10,CNCBI,0.1894465366813111,ab,0.1848730432904314,0.1741048926483046
11,Chong Hing,0.31701013943716316,ab,0.31064496982627143,0.29512553141692616
12,CitiBank,1.055119878275782,ab,1.044882951967394,0.9451313210614158
13,DBS,0.41375699685254974,ab,0.4119395428691144,0.39663064483721416
14,Dah Sing,0.2717277869052716,ab,0.27523574314269317,0.2651958332635361
15,HSBC,0.1364759396447583,ab,0.13507398932134526,0.16603330867931274
16,Hana Bank,0.3575476275330147,ab,0.35807194282813937,0.31866920419758665
17,Hong Leong,0.24561511764036922,ab,0.2397476350328847,0.233424458918344
18,ICBC,0.3331425795585619,ab,0.32351464501309907,0.3172640954476065
19,KTB,0.17398260539206045,ab,0.1770661526665568,0.1950525896246049
20,MUFG,0.3267695358285579,ab,0.3273212537112624,0.3004945827772064
21,Maybank,0.25096938230693444,ab,0.24726527577901053,0.25258917249958396
22,OCBC,0.3395880687594376,ab,0.3364817839463582,0.3173779326387648
23,PSBC,0.2965685597744714,ab,0.2902657723243905,0.3094082579434241
24,RHB,0.27774072450849707,ab,0.27610315402895613,0.2712191955761581
25,SBI,0.24191610221073015,ab,0.24138965565256024,0.2636440076450061
26,SCB,0.3656622455646942,ab,0.3731320723407963,0.3763904778170981
27,Shinhan,0.5005380240956074,ab,0.49712431981359695,0.4576177936129217
28,UOB,0.4483470239758392,ab,0.43552243220376413,0.40924295731262267
29,AXA IM,0.868574445287008,am,0.8396065520345228,0.7738676987413031
30,Aegon,0.12986140583078046,am,0.1307590353636282,0.17199477357055434
31,Allianz,0.5301638677751686,am,0.5265051001199943,0.4752378062438571
32,Ameriprise,0.25198910016457904,am,0.24824292108166257,0.23418315180267044
33,Ashmore,0.24826055543873732,am,0.2552201331259239,0.26900991182180034
34,Aviva,0.5065953883022994,am,0.5017625151334741,0.48750220377233144
35,BNP Paribas,0.23991202604799405,am,0.24318819242945092,0.2561410102879723
36,BNY Mellon,0.35456225580681117,am,0.342856109423438,0.3521944917960763
37,BOCHK,0.30950636201656306,am,0.30594720297266753,0.28911387018584145
38,BOCOM,0.513008999224023,am,0.5140318728946432,0.5014304564996976
39,Barings,0.447320144612581,am,0.4553667382746923,0.4000570145827234
40,BlackRock,0.48143009757967514,am,0.4702841001383113,0.4511855654377368
41,BofA,0.12126523152586378,am,0.11980169659547005,0.15300432862905602
42,CICC,0.09176040743849403,am,0.09128016927856936,0.13096795046047693
43,CITIC Capital,0.1800865342943799,am,0.19848210579892966,0.21763634609984098
44,CMBC,0.2589956164436743,am,0.2545725032395958,0.2691663568094753
45,Capital Group,0.28220213398908045,am,0.27691455965250483,0.2828692065958387
46,Credit Suisse,0.4463912037711266,am,0.4407709884279561,0.41841956381281115
47,Deutsche,0.5618575244889136,am,0.5422837851672927,0.5449755350503256
48,E Fund,0.3093373328596373,am,0.31849083997670646,0.34696910428545247
49,Edward Jones,0.23593361340858032,am,0.2309604371601706,0.26206586872129783
50,Everbright,0.2716805305581779,am,0.25771602737498883,0.2596504503437258
51,Fidelity,0.6136665569221417,am,0.6055783419068904,0.5649927276291273
52,First Sentier,0.4963645129365573,am,0.47738794565466663,0.41731673636397293
53,Fisch,0.16534751573663428,am,0.10347347438169623,0.18011774752683754
54,Fullerton,0.470841732386439,am,0.48305520797029616,0.4719756384169745
55,GAM,0.584719306099535,am,0.5721984083233935,0.5506671180098242
56,Goldman Sachs,0.3417127687669776,am,0.3409879795968064,0.3518781520815474
57,HSBC AM,0.0,am,0.003636363636363637,0.16456421115678216
58,Hang Seng,0.26345236695186736,am,0.2619535673706485,0.27580548112158043
59,Insight,0.37824717642297395,am,0.38280022941949926,0.36861459266154173
60,Invesco,0.4307519815115955,am,0.42377090850982296,0.4342715051678522
61,JPMorgan Chase,0.4028589042992198,am,0.40331807601195935,0.3827105834798233
62,L&G,0.48589291446689153,am,0.47901044953936633,0.47204989394093916
63,Manulife,0.6696942156350429,am,0.6656345994996166,0.6076881488507775
64,Morgan Stanley,0.432760204755194,am,0.4177520262325989,0.4043182393451403
65,Muzinich,0.5096897702670097,am,0.48149529213371833,0.4290823728823968
66,NB,0.4498764976466049,am,0.45826902141332554,0.46317354963976487
67,Ninety One,0.46692030662081624,am,0.4655308203902884,0.4458597334083932
68,PGIM,0.4653835219659519,am,0.4524716703686176,0.4360042044689259
69,PIMCO,0.8643240387248531,am,0.8562607936935265,0.8252603911539305
70,Pictet,0.5386401060549598,am,0.5332779780522148,0.4750515697948404
71,Schroders,0.46946166865810135,am,0.46449098138918443,0.47353718680531515
72,Sinopac,0.3548160124527349,am,0.3506979695405024,0.33637079201287157
73,Standard Life,0.4957724619562604,am,0.4883387837361494,0.5111370820425896
74,SuMi TRUST,0.3241650392273245,am,0.32001631847832457,0.31978034673730016
75,T. Rowe Price,0.45128168159509047,am,0.45394743869874377,0.4256765145783542
76,TIAA,0.3357023440263961,am,0.3275616548727737,0.34085282169603265
77,UBS,0.4454721967815473,am,0.44233749337599987,0.43074114519754847
78,UOB AM,0.4570827353113033,am,0.432938318202498,0.33044137128936035
79,Value Partners,0.10396169574546721,am,0.1042763733644791,0.12885619015864985
80,Vanguard,0.4614386157048829,am,0.450160988933527,0.43980107206316094
81,Wellington,0.4245024251475661,am,0.4133020307481751,0.42327266719545903
82,ABP,0.4489580441745414,pf,0.43245859679410287,0.47657619271432555
83,AP Fonden 1,0.19367856234113265,pf,0.1910339290351828,0.22218352567886437
84,AP Fonden 2,0.46048903193446283,pf,0.4564279639989831,0.464922627548235
85,AP Fonden 3,0.30414873020394956,pf,0.30191578247911943,0.31394482966441123
86,AP Fonden 4,0.3067084170097254,pf,0.3003416548534837,0.31509541049841505
87,AP Fonden 7,0.528708018851209,pf,0.5303372683775371,0.530984323900675
88,CPP,0.8058614758301625,pf,0.7984345870731173,0.6939402350162228
89,CalPERS,0.19887007567568754,pf,0.1939763926193709,0.2242145158219059
90,CalSTRS,0.3489317444878026,pf,0.3340616516890695,0.3713409966108201
91,FDC,0.7579754987184816,pf,0.7489165764971993,0.7019810578031963
92,Future Fund,0.11102820744290845,pf,0.11114244957099799,0.1319073808474362
93,GEPF,0.1345527331974707,pf,0.12929902310712005,0.14522077055715962
94,GPF,0.4311120524124826,pf,0.4250526684676267,0.4261698592402289
95,GPIF,0.7344413486587351,pf,0.735807198536039,0.696015176999005
96,ISIF,0.6553017322422068,pf,0.6554980996795233,0.7366597472535779
97,NPS,0.23357434966454493,pf,0.22951667344250457,0.25357955703999957
98,AIA,0.4169997551241976,ins,0.408844388477629,0.38984312046401837
99,AXA,0.19812906718569812,ins,0.19834426702407146,0.20818929719959586
100,Asahi Life,0.09107763414049844,ins,0.09367806182190877,0.09407264930538464
101,Cathay Life,0.375479634776681,ins,0.36819146828278515,0.38827769158112824
102,DGB,0.17271770763172087,ins,0.16536644629012048,0.19406868211412312
103,Daiichi Life,0.3109132371654137,ins,0.3090191002237412,0.30674867398518857
104,FWD,0.19561019892218665,ins,0.20135598478707603,0.19566459248122023
105,Fukoku Life,0.10486695328604921,ins,0.10036695222622037,0.11494238554414472
106,JP Insurance,0.239552948771644,ins,0.2413476997516294,0.2252821253566989
107,KB Financial,0.4317596346608798,ins,0.42393465408499953,0.43959705823663553
108,Kyobo Life,0.23588009199184273,ins,0.22856424606424297,0.223954768037766
109,Meiji Yasuda,0.11744552895154788,ins,0.11976908957260644,0.1267890521757511
110,Nan Shan Life,0.24695001534767755,ins,0.24110205260045636,0.23931915460072697
111,Nippon Life,0.09786113960358081,ins,0.09899531620419712,0.1244697617776128
112,Ping An,0.26530508555600835,ins,0.2645513712860515,0.26052588974800955
113,Prudential,0.4335673993756284,ins,0.4217017488470758,0.4064079746645025
114,Shin Kong,0.2561816487515891,ins,0.2538501430102947,0.24632418844280232
115,Sun Life,0.3118407065286262,ins,0.30211465689885536,0.29346305515521676
116,Taiwan Life,0.22540827518199924,ins,0.21558137592345944,0.22338569425593804
117,Tokio Marine,0.39286490521056217,ins,0.38772882798135594,0.3697106450159489
