,name,bigram,count,type
0,AIIB,client,27.0,ab
1,AIIB,development,39.0,ab
2,AIIB,environmental,45.0,ab
3,AIIB,finance,27.0,ab
4,AIIB,financing,43.0,ab
5,AIIB,impact,25.0,ab
6,AIIB,project,100.0,ab
7,AIIB,sector,22.0,ab
8,AIIB,social,47.0,ab
9,AIIB,sustainable,40.0,ab
10,Bangkok Bank,business,292.0,ab
11,Bangkok Bank,customer,250.0,ab
12,Bangkok Bank,development,130.0,ab
13,Bangkok Bank,gri,269.0,ab
14,Bangkok Bank,provide,126.0,ab
15,Bangkok Bank,risk,218.0,ab
16,Bangkok Bank,service,152.0,ab
17,Bangkok Bank,support,146.0,ab
18,Bangkok Bank,sustainability,139.0,ab
19,Bangkok Bank,work,126.0,ab
20,BDO,business,172.0,ab
21,BDO,corporate,180.0,ab
22,BDO,customer,182.0,ab
23,BDO,development,191.0,ab
24,BDO,finance,209.0,ab
25,BDO,good,171.0,ab
26,BDO,strategy,173.0,ab
27,BDO,sustainability,283.0,ab
28,BDO,sustainable,209.0,ab
29,BDO,year,248.0,ab
30,BEA,approach,119.0,ab
31,BEA,business,108.0,ab
32,BEA,customer,199.0,ab
33,BEA,environmental,166.0,ab
34,BEA,governance,109.0,ab
35,BEA,gri,112.0,ab
36,BEA,performance,186.0,ab
37,BEA,policy,98.0,ab
38,BEA,social,132.0,ab
39,BEA,sustainability,93.0,ab
40,BNI,business,169.0,ab
41,BNI,community,136.0,ab
42,BNI,customer,161.0,ab
43,BNI,gri,133.0,ab
44,BNI,persero_tbk,143.0,ab
45,BNI,program,178.0,ab
46,BNI,service,156.0,ab
47,BNI,social,131.0,ab
48,BNI,sustainability,164.0,ab
49,BNI,sustainable,186.0,ab
50,BOC,amount,543.0,ab
51,BOC,asset,526.0,ab
52,BOC,business,417.0,ab
53,BOC,consolidated,542.0,ab
54,BOC,continue,579.0,ab
55,BOC,loan,473.0,ab
56,BOC,note,506.0,ab
57,BOC,risk,685.0,ab
58,BOC,statement,645.0,ab
59,BOC,year,576.0,ab
60,BRI,business,135.0,ab
61,BRI,community,115.0,ab
62,BRI,company,106.0,ab
63,BRI,customer,110.0,ab
64,BRI,development,104.0,ab
65,BRI,finance,137.0,ab
66,BRI,persero_tbk,126.0,ab
67,BRI,support,102.0,ab
68,BRI,sustainability,176.0,ab
69,BRI,sustainable,204.0,ab
70,CCB,business,77.0,ab
71,CCB,development,116.0,ab
72,CCB,enterprise,67.0,ab
