name,total_sent,e_sent,percent,percentile,type
1STSTATE,839,39,4.648390942,23.2,am
ABERDEEN,957,90,9.404388715,48.8,ins
AIA,2480,310,12.5,60.8,am
AIIB,152,12,7.894736842,44.8,am
ALLIANZ,658,60,9.118541033,48,pf
AP1,3121,56,1.7942967,6.4,pf
AP2,5007,82,1.63770721,4.8,pf
AP3,4439,78,1.757152512,5.6,pf
AP4,4443,48,1.080351114,2.4,pf
AP7,1817,45,2.476609796,8.8,ins
AVIVA,1063,60,5.644402634,32,am
AXA,18389,947,5.149817826,28.8,ab
AXAAM,914,22,2.407002188,8,am
Aegon,9743,644,6.609873756,39.2,ins 
Ameriprise,986,156,15.82150101,67.2,am
AsahiMutual,450,33,7.333333333,41.6,ab
Ashmore,827,40,4.836759371,25.6,ab
BDO,1357,258,19.01252763,76,ab
BEA,699,127,18.16881259,72.8,ab
BNI,2037,432,21.20765832,80.8,am
BNP,619,180,29.07915994,94.4,ab
BOA,3461,280,8.090147356,45.6,am
BOC,3045,619,20.32840722,77.6,ab
BOCHK,1873,336,17.93913508,71.2,ab
BOCOM,286,34,11.88811189,56.8,am
BRI,836,173,20.6937799,78.4,ab
BangkokBank,1037,272,26.2295082,89.6,am
Barings,205,11,5.365853659,30.4,am
BlackRock,1934,114,5.894519131,33.6,am
CAPITAL,62,2,3.225806452,14.4,am
CCB,625,210,33.6,98.4,pf
CHBank,365,119,32.60273973,96.8,am
CICC,4775,343,7.183246073,40.8,ins
CIMB,5728,915,15.97416201,68,ab
CITICBank,905,261,28.83977901,92.8,ab
CITICCapital,48,5,10.41666667,53.6,am
CMB,1471,545,37.0496261,99.2,am
CMBC,2466,712,28.87266829,93.6,ab
CPP,2970,88,2.962962963,10.4,am
Cathay,317,44,13.88012618,63.2,ab
CitiBank,234,8,3.418803419,16.8,ab
CreditSuisse,1383,137,9.906001446,51.2,ab
DBS,991,162,16.34712412,68.8,am
DGB,1806,327,18.10631229,72,pf
Dahsing,258,50,19.37984496,76.8,am
DaiichiLife,3634,349,9.603742433,50.4,ab
Danamon,905,208,22.98342541,85.6,ins
Deutsche,84,8,9.523809524,49.6,ab
EFUND,486,21,4.320987654,20.8,am
EVERBRIGHT,218,16,7.339449541,42.4,ins
Edward,491,40,8.146639511,46.4,am
FDC,614,10,1.628664495,4,am
FF,10090,301,2.983151635,12,pf
FIDELITY,720,44,6.111111111,35.2,am
FWD,293,86,29.35153584,95.2,am
Fisch,70,4,5.714285714,32.8,am
Fukoku,589,28,4.753820034,24.8,pf
Fullerton,43,0,0,0.8,ins
GAM,538,17,3.159851301,13.6,am
GEPF,3576,116,3.243847875,15.2,pf
GOLDMAN,919,100,10.88139282,54.4,ins
GPF,3863,139,3.59823971,17.6,am
GPIF,928,46,4.956896552,27.2,am
HANGSENG,4710,862,18.3014862,73.6,pf
HLB,1683,551,32.73915627,97.6,pf
HSBCAM,1206,41,3.399668325,16,pf
HSBCBank,6706,588,8.768267223,47.2,ab
Hana,881,215,24.40408627,88.8,am
Harbor,101,3,2.97029703,11.2,ab
ICBC,790,248,31.39240506,96,ab
ISIF,202,2,0.99009901,1.6,am
Insight,572,24,4.195804196,20,ab
Invesco,1607,125,7.778469197,44,am
JPMORGAN,1428,217,15.19607843,66.4,am
JapanPost,594,132,22.22222222,84.8,pf
KBFG,2760,735,26.63043478,90.4,ins
KWSP_EPF,1068,111,10.39325843,52.8,am
Krungthai,3364,922,27.4078478,91.2,ins
Kyobo,2008,417,20.76693227,79.2,ab
LPF,1571,81,5.155951623,29.6,ins
Legal&General,719,54,7.510431154,43.2,am
MUFG,2350,310,13.19148936,61.6,am
Mandiri,1801,223,12.38200999,60,ab
Manulife,888,105,11.82432432,56,ins
Maybank,3964,917,23.13319879,87.2,ab
MeijiYasuda,2138,264,12.34798877,59.2,am
Mellon,1067,176,16.49484536,69.6,ab
Mizuho,134,9,6.71641791,40,am
Morgan,1821,214,11.75178473,55.2,ins
Muzinich,224,14,6.25,36,pf
NPF,2302,45,1.954821894,7.2,am
NZSF,399,12,3.007518797,12.8,am
NanShanLife,856,198,23.13084112,86.4,pf
Natixis,122,23,18.85245902,75.2,am
Neuberger,656,32,4.87804878,26.4,ins
Ninetyone,724,34,4.696132597,24,ab
NipponLife,4400,612,13.90909091,64,am
OCBC,1126,234,20.78152753,80,am
PGIM,463,28,6.047516199,34.4,am
PICTET,360,20,5.555555556,31.2,am
PIMCO,375,17,4.533333333,21.6,ins
PSBC,907,352,38.8092613,100,ab
Pinebridge,653,17,2.603369066,9.6,ins
PingAn,7353,1579,21.47422821,82.4,ab
Prudential,1531,227,14.82691052,65.6,am
RHB,3897,862,22.11957916,84,ins
SBI,699,194,27.75393419,92,ab
SCB,987,173,17.52786221,70.4,ab
SMTH,2992,441,14.73930481,64.8,am
Schroders,586,27,4.607508532,22.4,am
ShinKong,3256,598,18.36609337,74.4,ab
Shinhan,609,63,10.34482759,52,am
Sinopac,7083,1513,21.36100522,81.6,am
SunLife,2363,284,12.0186204,58.4,ins
TCW,24,1,4.166666667,19.2,am
TIAA,425,28,6.588235294,38.4,ins
TROWEPRICE,483,31,6.418219462,36.8,am
TaiwanLife,342,83,24.26900585,88,am
TokioMarine,7262,871,11.99394106,57.6,ins
UBS,3539,480,13.56315343,62.4,am
UOB,1335,287,21.49812734,83.2,ab
UOBAM,40,2,5,28,am
VP,2482,102,4.109589041,18.4,am
Vanguard,505,7,1.386138614,3.2,am
Wellington,537,35,6.517690875,37.6,am
